id,value,color
Andy King,
Andy King.Game-Development,
Andy King.Game-Development.Blizzard Entertainment,1,#808080
Andy King.Game-Development.Activision - Bizarre Creations,0.5,#2E2575
Andy King.Game-Development.Sony - Evolution Studios,3,#E54F24
Andy King.Game-Development.Electronic Arts - Northwest Studio,1.5,#FF9900
Andy King.SW-Development,
Andy King.SW-Development.The Aerospace Corporation,1.5,#617CBE
Andy King.SW-Development.Kinworth LLC,1,#0073AD
Andy King.SW-Development.Walt Disney Consumer Products,1,#0073AD
Andy King.Visual-Effects,
Andy King.Visual-Effects.Digital Domain,2,#808080
Andy King.Visual-Effects.Deluxe Entertainment,2.5,#040404
Andy King.Visual-Effects.Sony Imageworks,2,#CA212F
Andy King.Visual-Effects.Centropolis FX,2,#CA212F
Andy King.Animation,
Andy King.Animation.Warner Bros Feature Animation,1.5,#00A0D2
Andy King.Animation.Walt Disney Feature Animatino,1.5,#0678BE